ufn,sample_id,tissue_type,stock_1,region_1,prob_1,stock_2,region_2,prob_2,stock_3,region_3,prob_3,stock_4,region_4,prob_4,stock_5,region_5,prob_5,analyzing_lab,quality_level,sample_comments,quality_log
U01,S01DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U02,S02DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U03,S03DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U04,S04DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U05,S05DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U07,SDN17,liver,Kuzkwa_Cr,3,0.75,PINCHI_CR,3,0.2,TACHIE,3,0.04,WEAVER,4,0,CHILKO,3,0,PBS,Technicianmr,,
U08,S08DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U09,S09DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U10,SDN20,liver,Kuzkwa_Cr,3,0.36,PORTER_CR,1,0.34,WEAVER,4,0.12,PINCHI_CR,3,0.1,STELLAKO,3,0.04,PBS,Technicianmr,,
U11,S11DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A kidney sample was taken instead of a liver,
U12,S12DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U13,S13DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U14,S14DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U15,S15DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U16,SDN12,liver,Kuzkwa_Cr,3,0.41,PINCHI_CR,3,0.22,PORTAGE_CR,4,0.15,STELLAKO,3,0.14,TACHIE,3,0.04,PBS,Technicianmr,,
U17,SDN21,liver,Chilko_south,2,0.32,KUZKWA_CR,3,0.24,CHILKO,3,0.21,PINCHI_CR,3,0.1,TACHIE,3,0.04,PBS,Technicianmr,,
U18,S18DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U19,S19DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U20,SDN63,liver,Mitchell,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,Technicianmr,,
U21,SDN13,liver,L_Horsefly,3,0.68,CHILKO,3,0.24,MCKINLEY,3,0.05,U_HORSEFLY,3,0.03,TACHIE,3,0,PBS,Technicianmr,,
U22,S22DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U23,S23DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U24,S24DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U25,SDN24,liver,Chilko,3,1,CHILKO_SOUTH,2,0,LITTLE,4,0,L_SHUSWAP,4,0,CHILKO-NORTH,3,0,PBS,Technicianmr,,
U26,S26DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U27,S27DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U28,S28DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U29,S29DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U30,S30DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U31,SDN15,liver,Chilko,3,0.85,THOMPSON_N,2,0.06,EAGLE_L,4,0.04,PORTAGE_CR,4,0.02,SEYMOUR,2,0.01,PBS,Technicianmr,,
U32,S32DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U33,S33DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U34,S34DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U35,SDN27,liver,Weaver,4,0.29,CHILKO_SOUTH,2,0.19,PINCHI_CR,3,0.12,KUZKWA_CR,3,0.11,THOMPSON_N,2,0.11,PBS,Technicianmr,,
U36,S36DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U37,S37DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U38,S38DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U40,S40DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U41,S41DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U42,SDN30,liver,Mitchell,3,1,WASKO_CR,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,Technicianmr,,
U43,SDN31,liver,L_Horsefly,3,0.44,THOMPSON_N,2,0.44,PORTAGE_CR,4,0.07,LITTLE,4,0.02,CHILKO,3,0.01,PBS,Technicianmr,,
U45,S45DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U46,S46DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U47,S47DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U48,S48DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U49,S49DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U50,S50DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U51,S51DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U52,S52DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U53,S53DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
U54,S54DN1,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
