ufn,semsp_id,seine_id,species,package_id,fish_time_out,fish_time_dewar,fork_length_field,height_field,weight_field,lice_id_protocol_field,analysis_planned,dissection_status,date_processed,cwt,adipose,weight,standard_length,fork_length,photo_number,comments_protocol,comments_fish_health_lab,dissector,dissection_protocol,lice_collection_protocol,lice_id_protocol_lab,analyzing_lab,quality_level,quality_log
U5146,2016-06-03-D07-CU-7,DE300N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-09-27,None,Present,11.8,104,110,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5147,2016-06-03-D07-CU-9,DE300N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-09-27,None,Present,6.3,82,87,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5148,2016-06-03-D07-CU-6,DE300N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-09-27,None,Present,4.9,76,80,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5149,2016-06-03-D07-CU-4,DE300N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-09-28,None,Present,11.1,99,104,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5150,2016-06-03-D07-CU-10,DE300N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-09-28,None,Present,5,78,82,NA,Did not take DNA sample,isopod on gill,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5162,2016-06-08-D11-CU-6,DE303N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-09-28,None,Present,6.7,77,81,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5163,2016-06-08-D11-CU-2,DE303N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-09-28,None,Present,18.4,113,117,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5164,2016-06-08-D11-CU-1,DE303N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-09-28,None,Present,11.5,102,107,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5165,2016-06-08-D11-CU-4,DE303N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-09-28,None,Present,8.7,97,101,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5166,2016-06-08-D11-CU-3,DE303N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-09-28,None,Present,10.9,101,106,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
U5167,2016-06-08-D11-CU-5,DE303N1,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,dissected,2018-09-28,None,Present,7.2,85,89,NA,Did not take DNA sample,NA,EJ,streamlined_1,NA,NA,HAKAI,Technicianmr,NA
