ufn,date_processed,cwt,adipose,weight,standard_length,fork_length,comments_protocol,comments_fish_health_lab,dissector,dissection_protocol,lice_collection_protocol,lice_id_protocol_lab,quality_level,quality_flag,quality_log
U01,2015-09-10,None,Present,NA,NA,118,From thawed JS fish. One otolith collected,NA,CK,no_cold_samples,lab_fine_2015,NA,Technicianmr,NA,NA
U02,2015-09-10,None,Present,22.2,NA,128,From thawed JS fish,Small spleen,CK,no_cold_samples,lab_fine_2015,NA,Technicianmr,NA,NA
U11,2015-09-10,None,Present,NA,NA,132,From thawed JS fish,NA,KI,no_cold_samples,lab_fine_2015,NA,Technicianmr,NA,NA
U12,2015-09-10,None,Present,NA,NA,143,From thawed JS fish. One broken otolith,One broken otolith,KI,no_cold_samples,lab_fine_2015,NA,Technicianmr,NA,NA
U03,2015-09-11,None,Present,24,NA,134,From thawed JS fish. Sample weighed w/ some ice on body,liver was pale,DS,no_cold_samples,lab_fine_2015,NA,Technicianmr,NA,NA
U13,2015-09-11,None,Present,19.5,NA,122,From thawed JS fish,NA,LP,no_cold_samples,lab_fine_2015,NA,Technicianmr,NA,NA
U04,2015-09-14,None,Present,22.5,NA,132,From thawed JS fish. Some ice still on fish when weighed,one otolith smaller than the other (broken?),DS,no_cold_samples,lab_fine_2015,NA,Technicianmr,NA,NA
U05,2015-09-14,None,Present,13.4,NA,114,From thawed JS fish,NA,DS,no_cold_samples,lab_fine_2015,NA,Technicianmr,NA,NA
U14,2015-09-14,None,Present,26.3,NA,139,From thawed JS fish .Scale was broken so could not weigh,NA,LP,no_cold_samples,lab_fine_2015,NA,Technicianmr,NA,NA
U15,2015-09-14,None,Present,29.7,NA,147,From thawed JS fish .Scale was broken so could not weigh,NA,LP,no_cold_samples,lab_fine_2015,NA,Technicianmr,NA,NA
U31,2015-09-15,None,Present,10.9,NA,96,From thawed JS fish,NA,CK,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U32,2015-09-15,None,Present,NA,NA,138,"From thawed JS fish. Mangled cal. chal b, 1 cal. chal a not retained",NA,CK,no_cold_samples,lab_fine_2015,NA,Technicianmr,NA,NA
U07,2015-09-15,None,Present,12.3,NA,113,From thawed JS fish,NA,DS,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U08,2015-09-15,None,Present,13.5,NA,111,From thawed JS fish,NA,DS,no_cold_samples,lab_fine_2015,NA,Technicianmr,NA,NA
U09,2015-09-15,None,Present,13,NA,115,From thawed JS fish,NA,DS,no_cold_samples,lab_fine_2015,NA,Technicianmr,NA,NA
U21,2015-09-15,None,Present,8.5,NA,96,From thawed JS fish,NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U22,2015-09-15,None,Present,20.6,NA,127,From thawed JS fish. Forgot to weigh before stomach etc removed. otoliths may have been mixed,NA,KI,no_cold_samples,lab_fine_2015,NA,Technicianmr,NA,NA
U16,2015-09-15,None,Present,12.4,NA,110,From thawed JS fish. 1 louse taken seems to be different species?,1 louse taken seems to be different species?,LP,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U33,2015-09-16,None,Present,20.9,NA,131,From thawed JS fish. 1 caligus chal a severly destroyed,NA,CK,no_cold_samples,lab_fine_2015,NA,Technicianmr,NA,NA
U34,2015-09-16,None,Present,36.4,NA,140,From thawed JS fish,NA,CK,no_cold_samples,lab_fine_2015,NA,Technicianmr,NA,NA
U35,2015-09-16,None,Present,12.2,NA,108,From thawed JS fish.,1 otolith,CK,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U10,2015-09-16,None,Present,11.2,NA,104,From thawed JS fish,Fish was small and therfore was more abraded from handling,DS,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U41,2015-09-16,None,Present,16.3,NA,110,From thawed JS fish. Tray tipped off microscope during lice removal fish fell off onto lab coat. lab coat was inspected for lice.,NA,DS,no_cold_samples,lab_fine_2015,NA,Technicianmr,NA,NA
U42,2015-09-16,None,Present,7.6,NA,95,From thawed JS fish,Missing lots of scales even before removal from bag,DS,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U43,2015-09-16,None,Present,10.5,NA,95,From thawed JS fish,Lots of scales missing,DS,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U23,2015-09-16,None,Present,16.4,NA,118,From thawed JS fish,NA,KI,no_cold_samples,lab_fine_2015,NA,Technicianmr,NA,NA
U24,2015-09-16,None,Present,11.8,NA,105,From thawed JS fish. Scale was broken so could not weigh,Scale was broken so could not weigh,KI,no_cold_samples,lab_fine_2015,NA,Technicianmr,NA,NA
U25,2015-09-16,None,Present,8.6,NA,95,From thawed JS fish.,1 otolith,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U36,2015-09-16,None,Present,14.9,NA,101,From thawed JS fish,NA,KI,no_cold_samples,lab_fine_2015,NA,Technicianmr,NA,NA
U17,2015-09-16,None,Present,9.9,NA,109,From thawed JS fish,NA,LP,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U45,2015-09-17,None,Present,14,NA,118,From thawed JS fish,NA,DS,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U46,2015-09-17,None,Present,14.4,NA,110,From thawed JS fish,NA,DS,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U26,2015-09-17,None,Present,13.7,NA,106,From thawed JS fish,NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U27,2015-09-17,None,Present,12.7,NA,108,From thawed JS fish,NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U37,2015-09-17,None,Present,10.4,NA,95,From thawed JS fish,Was missing most scales when it came out of the bag,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U38,2015-09-17,None,Present,12.2,NA,108,From thawed JS fish,NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U18,2015-09-17,None,Present,9.9,NA,96,From thawed JS fish,"external bleeding on head, brain hemmorraged",LP,no_cold_samples,lab_fine_2015,NA,Technicianmr,NA,NA
U40,2015-09-18,None,Present,13.7,NA,106,From thawed JS fish. 1 cal cop not retained,NA,CK,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U51,2015-09-18,None,Present,12.2,NA,104,From thawed JS fish,NA,CK,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U52,2015-09-18,None,Present,18.1,NA,121,From thawed JS fish.,1 otolith,CK,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U47,2015-09-18,None,Present,13.4,NA,107,From thawed JS fish,NA,DS,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U48,2015-09-18,None,Present,10.9,NA,103,From thawed JS fish,"Big pred scar on left flank, missing scales",DS,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U49,2015-09-18,None,Present,13.5,NA,109,From thawed JS fish,NA,DS,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U50,2015-09-18,None,Present,13.9,NA,114,"From thawed JS fish. 1 unidentified chal b unretained, 1 female cal chal b mangled",NA,DS,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U28,2015-09-18,None,Present,11.4,NA,104,"From thawed JS fish. 3 copes, 1 chal a 1 chal b not removed before dissection on pelvic region due to melting",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U29,2015-09-18,None,Present,11.5,NA,100,From thawed JS fish,NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U30,2015-09-18,None,Present,12.2,NA,106,From thawed JS fish.,1 otolith,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U61,2015-09-18,None,Present,12.8,NA,108,From thawed JS fish. 2 louse destroyed in vial,NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U62,2015-09-18,None,Present,20.2,NA,123,From thawed JS fish,NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U19,2015-09-18,None,Present,9.8,NA,98,From thawed JS fish,"Both lobes of the tail disconected from on removal from bag, 1 louse was too dry to remove from tray it was a cal chal b.",LP,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U53,2015-09-21,None,Present,20.7,NA,125,From thawed JS fish,"Kidneys very pale pink, caudal fin broken",CK,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U54,2015-09-21,None,Present,15,NA,110,From thawed JS fish. Sample beginning to get soft when RNA taken,NA,CK,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U71,2015-09-21,None,Present,13.6,NA,110,"From thawed JS fish. 1 caligus cope didnt see it get into vial, but it was no longer on forceps.",NA,DS,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U72,2015-09-21,None,Present,12,NA,103,"From thawed JS fish. 1 caligus cope not retained, lunials found in the bag (from louse already collected?)",NA,DS,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U73,2015-09-21,None,Present,12.3,NA,113,From thawed JS fish,1 chal b caligus,DS,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U63,2015-09-21,None,Present,15.6,NA,110,From thawed JS fish,NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U101,2015-09-22,None,Present,12.6,NA,113,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U102,2015-09-22,None,Present,12,NA,104,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U103,2015-09-22,None,Present,15.4,NA,112,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U20,2015-09-22,None,Present,15.7,NA,118,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U55,2015-09-22,None,Present,7.5,NA,89,"From JS thawed fish, experimental data set.",1 otolith,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U56,2015-09-22,None,Present,9.3,NA,93,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U57,2015-09-22,None,Present,13.1,NA,113,"From JS thawed fish, experimental data set. 1 squished adult, unk. species",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U58,2015-09-22,None,Present,10.4,NA,96,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U60,2015-09-22,None,Present,14,NA,113,"From JS thawed fish, experimental data set",White nematode ~2 cm long in gut region,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U64,2015-09-22,None,Present,23.4,NA,140,"From JS thawed fish, experimental data set. Isotopes: too mushy to get a sample","1 adult caligus cut in half, white cysts on stomach anterior to spleen",KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U65,2015-09-22,None,Present,15.4,NA,112,"From JS thawed fish, experimental data set. No scales taken.","No scales present, 1 otolith",KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U66,2015-09-22,None,Present,8.1,NA,107,"From JS thawed fish, experimental data set",1 otolith,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U74,2015-09-22,None,Present,8.3,NA,96,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U75,2015-09-22,None,Present,10,NA,96,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U59,2015-09-23,None,Present,7.1,NA,88,"From JS thawed fish, experimental data set. One louse on dorsal fin damaged put into vial, likely chal b stage",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U68,2015-09-23,None,Present,7.2,NA,93,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U69,2015-09-23,None,Present,11.2,NA,102,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U70,2015-09-23,None,Present,13.9,NA,108,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U76,2015-09-23,None,Present,12.5,NA,108,"From JS thawed fish, experimental data set. 1 cal copepod mangled, not retained",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U77,2015-09-23,None,Present,7,NA,86,"From JS thawed fish, experimental data set","1 otolith retained, 1 louse found on outside of bag",KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U78,2015-09-23,None,Present,15.9,NA,118,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U79,2015-09-23,None,Present,14.9,NA,110,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
U80,2015-09-23,None,Present,15.1,NA,110,"From JS thawed fish, experimental data set",NA,KI,no_cold_samples,lab_fine_2015,lportner_fine,Technicianmr,NA,NA
