ufn,survey_date,site_id,region,species,louse_species,n_lice,year
U513,2015-05-23,D10,DI,SO,motile_caligus,0,2015
U514,2015-05-23,D10,DI,SO,motile_caligus,0,2015
U515,2015-05-23,D10,DI,SO,motile_caligus,0,2015
U299,2015-05-24,D09,DI,SO,motile_caligus,1,2015
U300,2015-05-24,D09,DI,SO,motile_caligus,1,2015
U307,2015-05-24,D09,DI,SO,motile_caligus,3,2015
U308,2015-05-24,D09,DI,SO,motile_caligus,1,2015
U317,2015-05-24,D09,DI,SO,motile_caligus,0,2015
U318,2015-05-24,D09,DI,SO,motile_caligus,1,2015
U319,2015-05-24,D09,DI,SO,motile_caligus,1,2015
U331,2015-05-24,D09,DI,SO,motile_caligus,2,2015
U332,2015-05-24,D09,DI,SO,motile_caligus,0,2015
U333,2015-05-24,D09,DI,SO,motile_caligus,0,2015
U482,2015-05-25,D08,DI,SO,motile_caligus,0,2015
U483,2015-05-25,D08,DI,SO,motile_caligus,0,2015
U484,2015-05-25,D08,DI,SO,motile_caligus,1,2015
U485,2015-05-25,D08,DI,SO,motile_caligus,0,2015
U486,2015-05-25,D08,DI,SO,motile_caligus,2,2015
U493,2015-05-25,D08,DI,SO,motile_caligus,0,2015
U494,2015-05-25,D08,DI,SO,motile_caligus,1,2015
U495,2015-05-25,D08,DI,SO,motile_caligus,1,2015
U496,2015-05-25,D08,DI,SO,motile_caligus,0,2015
U497,2015-05-25,D08,DI,SO,motile_caligus,0,2015
U1296,2015-05-25,D08,DI,SO,motile_caligus,0,2015
U400,2015-05-26,D10,DI,SO,motile_caligus,4,2015
U412,2015-05-26,D10,DI,SO,motile_caligus,1,2015
U413,2015-05-26,D10,DI,SO,motile_caligus,1,2015
U414,2015-05-26,D10,DI,SO,motile_caligus,2,2015
U415,2015-05-26,D10,DI,SO,motile_caligus,0,2015
U416,2015-05-26,D10,DI,SO,motile_caligus,0,2015
U421,2015-05-26,D10,DI,SO,motile_caligus,0,2015
U422,2015-05-26,D10,DI,SO,motile_caligus,5,2015
U423,2015-05-26,D10,DI,SO,motile_caligus,0,2015
U424,2015-05-26,D10,DI,SO,motile_caligus,1,2015
U309,2015-05-26,D09,DI,SO,motile_caligus,0,2015
U310,2015-05-26,D09,DI,SO,motile_caligus,1,2015
U320,2015-05-26,D09,DI,SO,motile_caligus,2,2015
U334,2015-05-26,D09,DI,SO,motile_caligus,1,2015
U335,2015-05-26,D09,DI,SO,motile_caligus,0,2015
U336,2015-05-26,D09,DI,SO,motile_caligus,3,2015
U341,2015-05-26,D09,DI,SO,motile_caligus,1,2015
U342,2015-05-26,D09,DI,SO,motile_caligus,1,2015
U343,2015-05-26,D09,DI,SO,motile_caligus,0,2015
U351,2015-05-26,D09,DI,SO,motile_caligus,1,2015
U3117,2015-05-26,D09,DI,CU,motile_caligus,0,2015
U3120,2015-05-26,D09,DI,CU,motile_caligus,0,2015
U3123,2015-05-26,D09,DI,CU,motile_caligus,0,2015
U3124,2015-05-26,D09,DI,CU,motile_caligus,0,2015
U3125,2015-05-26,D09,DI,CU,motile_caligus,0,2015
U403,2015-05-28,D10,DI,SO,motile_caligus,0,2015
U404,2015-05-28,D10,DI,SO,motile_caligus,0,2015
U405,2015-05-28,D10,DI,SO,motile_caligus,2,2015
U406,2015-05-28,D10,DI,SO,motile_caligus,0,2015
U407,2015-05-28,D10,DI,SO,motile_caligus,1,2015
U461,2015-05-28,D10,DI,SO,motile_caligus,2,2015
U462,2015-05-28,D10,DI,SO,motile_caligus,1,2015
U463,2015-05-28,D10,DI,SO,motile_caligus,1,2015
U464,2015-05-28,D10,DI,SO,motile_caligus,0,2015
U465,2015-05-28,D10,DI,SO,motile_caligus,0,2015
U327,2015-05-28,D09,DI,SO,motile_caligus,0,2015
U436,2015-05-28,D09,DI,SO,motile_caligus,0,2015
U437,2015-05-28,D09,DI,SO,motile_caligus,1,2015
U438,2015-05-28,D09,DI,SO,motile_caligus,1,2015
U439,2015-05-28,D09,DI,SO,motile_caligus,0,2015
U441,2015-05-28,D09,DI,SO,motile_caligus,2,2015
U442,2015-05-28,D09,DI,SO,motile_caligus,0,2015
U443,2015-05-28,D09,DI,SO,motile_caligus,0,2015
U444,2015-05-28,D09,DI,SO,motile_caligus,0,2015
U445,2015-05-28,D09,DI,SO,motile_caligus,0,2015
U3097,2015-05-28,D09,DI,CU,motile_caligus,1,2015
U3098,2015-05-28,D09,DI,CU,motile_caligus,0,2015
U3115,2015-05-28,D09,DI,CU,motile_caligus,1,2015
U3116,2015-05-28,D09,DI,CU,motile_caligus,0,2015
U3119,2015-05-28,D09,DI,CU,motile_caligus,0,2015
U526,2015-05-31,D08,DI,SO,motile_caligus,0,2015
U546,2015-05-31,D08,DI,SO,motile_caligus,2,2015
U4150,2015-05-31,D08,DI,CU,motile_caligus,0,2015
U4151,2015-05-31,D08,DI,CU,motile_caligus,0,2015
U4152,2015-05-31,D08,DI,CU,motile_caligus,0,2015
U4153,2015-05-31,D08,DI,CU,motile_caligus,0,2015
U4154,2015-05-31,D08,DI,CU,motile_caligus,0,2015
U4165,2015-05-31,D08,DI,CU,motile_caligus,1,2015
U4166,2015-05-31,D08,DI,CU,motile_caligus,5,2015
U4167,2015-05-31,D08,DI,CU,motile_caligus,0,2015
U4168,2015-05-31,D08,DI,CU,motile_caligus,0,2015
U4169,2015-05-31,D08,DI,CU,motile_caligus,0,2015
U402,2015-06-01,D10,DI,SO,motile_caligus,0,2015
U440,2015-06-01,D10,DI,SO,motile_caligus,1,2015
U446,2015-06-01,D10,DI,SO,motile_caligus,1,2015
U447,2015-06-01,D10,DI,SO,motile_caligus,0,2015
U448,2015-06-01,D10,DI,SO,motile_caligus,0,2015
U449,2015-06-01,D10,DI,SO,motile_caligus,0,2015
U450,2015-06-01,D10,DI,SO,motile_caligus,0,2015
U451,2015-06-01,D10,DI,SO,motile_caligus,1,2015
U452,2015-06-01,D10,DI,SO,motile_caligus,1,2015
U453,2015-06-01,D10,DI,SO,motile_caligus,0,2015
U523,2015-06-01,D09,DI,SO,motile_caligus,3,2015
U524,2015-06-01,D09,DI,SO,motile_caligus,4,2015
U525,2015-06-01,D09,DI,SO,motile_caligus,0,2015
U532,2015-06-01,D09,DI,SO,motile_caligus,0,2015
U533,2015-06-01,D09,DI,SO,motile_caligus,0,2015
U534,2015-06-01,D09,DI,SO,motile_caligus,0,2015
U535,2015-06-01,D09,DI,SO,motile_caligus,2,2015
U543,2015-06-01,D09,DI,SO,motile_caligus,1,2015
U544,2015-06-01,D09,DI,SO,motile_caligus,0,2015
U545,2015-06-01,D09,DI,SO,motile_caligus,0,2015
U2542,2015-06-01,D09,DI,CU,motile_caligus,1,2015
U2544,2015-06-01,D09,DI,CU,motile_caligus,0,2015
U2545,2015-06-01,D09,DI,CU,motile_caligus,0,2015
U2546,2015-06-01,D09,DI,CU,motile_caligus,1,2015
U2547,2015-06-01,D09,DI,CU,motile_caligus,1,2015
U226,2015-06-03,D10,DI,SO,motile_caligus,0,2015
U227,2015-06-03,D10,DI,SO,motile_caligus,2,2015
U228,2015-06-03,D10,DI,SO,motile_caligus,2,2015
U229,2015-06-03,D10,DI,SO,motile_caligus,0,2015
U257,2015-06-03,D10,DI,SO,motile_caligus,2,2015
U258,2015-06-03,D10,DI,SO,motile_caligus,0,2015
U259,2015-06-03,D10,DI,SO,motile_caligus,1,2015
U263,2015-06-03,D10,DI,SO,motile_caligus,0,2015
U264,2015-06-03,D10,DI,SO,motile_caligus,0,2015
U265,2015-06-03,D10,DI,SO,motile_caligus,1,2015
U770,2015-06-03,D09,DI,SO,motile_caligus,1,2015
U775,2015-06-03,D09,DI,SO,motile_caligus,2,2015
U776,2015-06-03,D09,DI,SO,motile_caligus,0,2015
U777,2015-06-03,D09,DI,SO,motile_caligus,0,2015
U793,2015-06-03,D09,DI,SO,motile_caligus,1,2015
U794,2015-06-03,D09,DI,SO,motile_caligus,0,2015
U795,2015-06-03,D09,DI,SO,motile_caligus,0,2015
U796,2015-06-03,D09,DI,SO,motile_caligus,0,2015
U801,2015-06-03,D09,DI,SO,motile_caligus,1,2015
U802,2015-06-03,D09,DI,SO,motile_caligus,0,2015
U803,2015-06-03,D09,DI,SO,motile_caligus,0,2015
U3230,2015-06-03,D09,DI,PI,motile_caligus,3,2015
U4762,2015-06-04,D08,DI,SO,motile_caligus,0,2015
U4763,2015-06-04,D08,DI,SO,motile_caligus,0,2015
U4764,2015-06-04,D08,DI,SO,motile_caligus,0,2015
U4765,2015-06-04,D08,DI,SO,motile_caligus,0,2015
U4766,2015-06-04,D08,DI,SO,motile_caligus,0,2015
U4767,2015-06-04,D08,DI,SO,motile_caligus,0,2015
U4768,2015-06-04,D08,DI,SO,motile_caligus,0,2015
U4769,2015-06-04,D08,DI,SO,motile_caligus,0,2015
U4770,2015-06-04,D08,DI,SO,motile_caligus,0,2015
U4771,2015-06-04,D08,DI,SO,motile_caligus,0,2015
U947,2015-06-05,D10,DI,SO,motile_caligus,0,2015
U948,2015-06-05,D10,DI,SO,motile_caligus,0,2015
U949,2015-06-05,D10,DI,SO,motile_caligus,0,2015
U999,2015-06-05,D10,DI,SO,motile_caligus,0,2015
U1000,2015-06-05,D10,DI,SO,motile_caligus,0,2015
U1005,2015-06-05,D10,DI,SO,motile_caligus,1,2015
U1006,2015-06-05,D10,DI,SO,motile_caligus,0,2015
U1007,2015-06-05,D10,DI,SO,motile_caligus,0,2015
U1013,2015-06-05,D10,DI,SO,motile_caligus,1,2015
U1014,2015-06-05,D10,DI,SO,motile_caligus,0,2015
U1021,2015-06-05,D10,DI,SO,motile_caligus,0,2015
U759,2015-06-05,D09,DI,SO,motile_caligus,0,2015
U760,2015-06-05,D09,DI,SO,motile_caligus,0,2015
U817,2015-06-05,D09,DI,SO,motile_caligus,1,2015
U818,2015-06-05,D09,DI,SO,motile_caligus,1,2015
U819,2015-06-05,D09,DI,SO,motile_caligus,1,2015
U820,2015-06-05,D09,DI,SO,motile_caligus,0,2015
U824,2015-06-05,D09,DI,SO,motile_caligus,1,2015
U832,2015-06-05,D09,DI,SO,motile_caligus,0,2015
U833,2015-06-05,D09,DI,SO,motile_caligus,1,2015
U834,2015-06-05,D09,DI,SO,motile_caligus,0,2015
U3090,2015-06-05,D09,DI,CU,motile_caligus,0,2015
U3142,2015-06-05,D09,DI,CU,motile_caligus,1,2015
U3143,2015-06-05,D09,DI,CU,motile_caligus,0,2015
U3148,2015-06-05,D09,DI,CU,motile_caligus,0,2015
U3151,2015-06-05,D09,DI,CU,motile_caligus,0,2015
U219,2015-06-05,D07,DI,SO,motile_caligus,0,2015
U220,2015-06-05,D07,DI,SO,motile_caligus,0,2015
U221,2015-06-05,D07,DI,SO,motile_caligus,1,2015
U222,2015-06-05,D07,DI,SO,motile_caligus,1,2015
U237,2015-06-05,D07,DI,SO,motile_caligus,0,2015
U238,2015-06-05,D07,DI,SO,motile_caligus,1,2015
U239,2015-06-05,D07,DI,SO,motile_caligus,0,2015
U242,2015-06-05,D07,DI,SO,motile_caligus,3,2015
U243,2015-06-05,D07,DI,SO,motile_caligus,1,2015
U244,2015-06-05,D07,DI,SO,motile_caligus,3,2015
U2625,2015-06-05,D07,DI,CU,motile_caligus,0,2015
U2628,2015-06-05,D07,DI,CU,motile_caligus,1,2015
U2629,2015-06-05,D07,DI,CU,motile_caligus,0,2015
U2633,2015-06-05,D07,DI,CU,motile_caligus,0,2015
U2824,2015-06-05,D07,DI,CU,motile_caligus,1,2015
U4155,2015-06-05,D07,DI,CU,motile_caligus,0,2015
U4170,2015-06-05,D07,DI,CU,motile_caligus,0,2015
U4707,2015-06-05,D07,DI,SO,motile_caligus,1,2015
U4708,2015-06-05,D07,DI,SO,motile_caligus,1,2015
U4709,2015-06-05,D07,DI,SO,motile_caligus,1,2015
U4960,2015-06-05,D07,DI,CU,motile_caligus,1,2015
U4965,2015-06-05,D07,DI,CU,motile_caligus,1,2015
U946,2015-06-07,D09,DI,SO,motile_caligus,1,2015
U958,2015-06-07,D09,DI,SO,motile_caligus,0,2015
U959,2015-06-07,D09,DI,SO,motile_caligus,1,2015
U960,2015-06-07,D09,DI,SO,motile_caligus,1,2015
U985,2015-06-07,D09,DI,SO,motile_caligus,1,2015
U986,2015-06-07,D09,DI,SO,motile_caligus,0,2015
U987,2015-06-07,D09,DI,SO,motile_caligus,1,2015
U988,2015-06-07,D09,DI,SO,motile_caligus,0,2015
U992,2015-06-07,D09,DI,SO,motile_caligus,0,2015
U993,2015-06-07,D09,DI,SO,motile_caligus,1,2015
U994,2015-06-07,D09,DI,SO,motile_caligus,1,2015
U995,2015-06-07,D09,DI,SO,motile_caligus,0,2015
U2661,2015-06-07,D09,DI,CU,motile_caligus,0,2015
U2663,2015-06-07,D09,DI,CU,motile_caligus,0,2015
U2664,2015-06-07,D09,DI,CU,motile_caligus,0,2015
U2665,2015-06-07,D09,DI,CU,motile_caligus,0,2015
U3141,2015-06-07,D09,DI,CU,motile_caligus,0,2015
U3207,2015-06-07,D09,DI,PI,motile_caligus,0,2015
U826,2015-06-07,D07,DI,SO,motile_caligus,2,2015
U840,2015-06-07,D07,DI,SO,motile_caligus,0,2015
U844,2015-06-07,D07,DI,SO,motile_caligus,0,2015
U845,2015-06-07,D07,DI,SO,motile_caligus,0,2015
U846,2015-06-07,D07,DI,SO,motile_caligus,1,2015
U847,2015-06-07,D07,DI,SO,motile_caligus,0,2015
U849,2015-06-07,D07,DI,SO,motile_caligus,1,2015
U850,2015-06-07,D07,DI,SO,motile_caligus,0,2015
U861,2015-06-07,D07,DI,SO,motile_caligus,0,2015
U864,2015-06-07,D07,DI,SO,motile_caligus,0,2015
U2032,2015-06-07,D07,DI,CU,motile_caligus,1,2015
U2513,2015-06-07,D07,DI,PI,motile_caligus,0,2015
U2525,2015-06-07,D07,DI,PI,motile_caligus,1,2015
U2530,2015-06-07,D07,DI,PI,motile_caligus,0,2015
U2861,2015-06-07,D07,DI,PI,motile_caligus,1,2015
U2862,2015-06-07,D07,DI,PI,motile_caligus,0,2015
U2863,2015-06-07,D07,DI,PI,motile_caligus,0,2015
U2919,2015-06-07,D07,DI,CU,motile_caligus,0,2015
U2934,2015-06-07,D07,DI,CU,motile_caligus,1,2015
U3008,2015-06-07,D07,DI,CU,motile_caligus,0,2015
U3026,2015-06-07,D07,DI,CU,motile_caligus,0,2015
U4156,2015-06-07,D07,DI,CU,motile_caligus,0,2015
U4157,2015-06-07,D07,DI,CU,motile_caligus,1,2015
U4158,2015-06-07,D07,DI,CU,motile_caligus,0,2015
U4970,2015-06-07,D07,DI,CU,motile_caligus,1,2015
U4971,2015-06-07,D07,DI,CU,motile_caligus,0,2015
U825,2015-06-09,D09,DI,SO,motile_caligus,0,2015
U827,2015-06-09,D09,DI,SO,motile_caligus,0,2015
U828,2015-06-09,D09,DI,SO,motile_caligus,1,2015
U839,2015-06-09,D09,DI,SO,motile_caligus,0,2015
U848,2015-06-09,D09,DI,SO,motile_caligus,0,2015
U862,2015-06-09,D09,DI,SO,motile_caligus,0,2015
U863,2015-06-09,D09,DI,SO,motile_caligus,0,2015
U1310,2015-06-09,D09,DI,SO,motile_caligus,0,2015
U1316,2015-06-09,D09,DI,SO,motile_caligus,0,2015
U1328,2015-06-09,D09,DI,SO,motile_caligus,0,2015
U2543,2015-06-09,D09,DI,CU,motile_caligus,1,2015
U2666,2015-06-09,D09,DI,CU,motile_caligus,0,2015
U2838,2015-06-09,D09,DI,PI,motile_caligus,2,2015
U3153,2015-06-09,D09,DI,CU,motile_caligus,0,2015
U3156,2015-06-09,D09,DI,CU,motile_caligus,1,2015
U3158,2015-06-09,D09,DI,CU,motile_caligus,1,2015
U876,2015-06-09,D07,DI,SO,motile_caligus,0,2015
U877,2015-06-09,D07,DI,SO,motile_caligus,3,2015
U907,2015-06-09,D07,DI,SO,motile_caligus,0,2015
U908,2015-06-09,D07,DI,SO,motile_caligus,1,2015
U909,2015-06-09,D07,DI,SO,motile_caligus,2,2015
U910,2015-06-09,D07,DI,SO,motile_caligus,0,2015
U914,2015-06-09,D07,DI,SO,motile_caligus,0,2015
U915,2015-06-09,D07,DI,SO,motile_caligus,0,2015
U1298,2015-06-09,D07,DI,SO,motile_caligus,0,2015
U1318,2015-06-09,D07,DI,SO,motile_caligus,1,2015
U2517,2015-06-09,D07,DI,PI,motile_caligus,1,2015
U2839,2015-06-09,D07,DI,PI,motile_caligus,2,2015
U2931,2015-06-09,D07,DI,CU,motile_caligus,0,2015
U3020,2015-06-09,D07,DI,CU,motile_caligus,1,2015
U3022,2015-06-09,D07,DI,CU,motile_caligus,1,2015
U3024,2015-06-09,D07,DI,CU,motile_caligus,0,2015
U3025,2015-06-09,D07,DI,CU,motile_caligus,0,2015
U755,2015-06-11,D09,DI,SO,motile_caligus,0,2015
U767,2015-06-11,D09,DI,SO,motile_caligus,1,2015
U768,2015-06-11,D09,DI,SO,motile_caligus,1,2015
U769,2015-06-11,D09,DI,SO,motile_caligus,0,2015
U771,2015-06-11,D09,DI,SO,motile_caligus,0,2015
U772,2015-06-11,D09,DI,SO,motile_caligus,0,2015
U773,2015-06-11,D09,DI,SO,motile_caligus,0,2015
U774,2015-06-11,D09,DI,SO,motile_caligus,0,2015
U791,2015-06-11,D09,DI,SO,motile_caligus,0,2015
U792,2015-06-11,D09,DI,SO,motile_caligus,0,2015
U2537,2015-06-11,D09,DI,PI,motile_caligus,0,2015
U3095,2015-06-11,D09,DI,CU,motile_caligus,1,2015
U3096,2015-06-11,D09,DI,CU,motile_caligus,0,2015
U3127,2015-06-11,D09,DI,CU,motile_caligus,0,2015
U3128,2015-06-11,D09,DI,CU,motile_caligus,0,2015
U3129,2015-06-11,D09,DI,CU,motile_caligus,0,2015
U3226,2015-06-11,D07,DI,PI,motile_caligus,2,2015
U3227,2015-06-11,D07,DI,PI,motile_caligus,2,2015
U3231,2015-06-11,D07,DI,PI,motile_caligus,0,2015
U866,2015-06-13,D07,DI,SO,motile_caligus,1,2015
U867,2015-06-13,D07,DI,SO,motile_caligus,1,2015
U868,2015-06-13,D07,DI,SO,motile_caligus,0,2015
U869,2015-06-13,D07,DI,SO,motile_caligus,2,2015
U870,2015-06-13,D07,DI,SO,motile_caligus,3,2015
U881,2015-06-13,D07,DI,SO,motile_caligus,0,2015
U882,2015-06-13,D07,DI,SO,motile_caligus,2,2015
U883,2015-06-13,D07,DI,SO,motile_caligus,0,2015
U884,2015-06-13,D07,DI,SO,motile_caligus,3,2015
U891,2015-06-13,D07,DI,SO,motile_caligus,1,2015
U2526,2015-06-13,D07,DI,PI,motile_caligus,2,2015
U2529,2015-06-13,D07,DI,PI,motile_caligus,1,2015
U2860,2015-06-13,D07,DI,PI,motile_caligus,2,2015
U2927,2015-06-13,D07,DI,CU,motile_caligus,0,2015
U2928,2015-06-13,D07,DI,CU,motile_caligus,0,2015
U3017,2015-06-13,D07,DI,CU,motile_caligus,1,2015
U3021,2015-06-13,D07,DI,CU,motile_caligus,0,2015
U3023,2015-06-13,D07,DI,CU,motile_caligus,0,2015
U4065,2015-06-13,D07,DI,CU,motile_caligus,2,2015
U4096,2015-06-13,D07,DI,CU,motile_caligus,1,2015
U4097,2015-06-13,D07,DI,CU,motile_caligus,2,2015
U4098,2015-06-13,D07,DI,CU,motile_caligus,0,2015
U4149,2015-06-13,D07,DI,CU,motile_caligus,0,2015
U1061,2015-06-14,D09,DI,SO,motile_caligus,0,2015
U1062,2015-06-14,D09,DI,SO,motile_caligus,0,2015
U1063,2015-06-14,D09,DI,SO,motile_caligus,2,2015
