2.5%,97.5%,estimate,region,site_id,year,month,day,species,stage,louse_species
0.2,1,0.6,DI,D07,2015,05,16,CU,motile,caligus
0,0.3333333333333333,0.16666666666666666,DI,D08,2015,05,19,CU,motile,caligus
0,1.2,0.6,DI,D09,2015,05,20,CU,motile,caligus
0.24687500000000018,1.125,0.6859375000000001,DI,D07,2015,05,21,CU,motile,caligus
0,0.3,0.15,DI,D08,2015,05,23,CU,motile,caligus
0,1.8,0.9,JS,J02,2015,05,24,CU,motile,caligus
0,0,0,DI,D09,2015,05,26,CU,motile,caligus
0.1,0.9,0.5,JS,J03,2015,05,26,CU,motile,caligus
0.2,1,0.6,JS,J09,2015,05,26,CU,motile,caligus
0,0.8,0.4,DI,D09,2015,05,28,CU,motile,caligus
0,1.6,0.8,DI,D08,2015,05,31,CU,motile,caligus
0.6,2.1,1.35,JS,J03,2015,05,31,CU,motile,caligus
0.2,1.4,0.7999999999999999,JS,J09,2015,05,31,CU,motile,caligus
0.2,1,0.6,DI,D09,2015,06,01,CU,motile,caligus
2,2,2,JS,J02,2015,06,01,CU,motile,caligus
0.1111111111111111,0.7777777777777778,0.4444444444444444,DI,D07,2015,06,05,CU,motile,caligus
0,0.6,0.3,DI,D09,2015,06,05,CU,motile,caligus
0.1,0.7,0.39999999999999997,DI,D07,2015,06,07,CU,motile,caligus
0,0,0,DI,D09,2015,06,07,CU,motile,caligus
0,0.6,0.3,JS,J09,2015,06,07,CU,motile,caligus
0,0,0,JS,J03,2015,06,08,CU,motile,caligus
0,0.8,0.4,DI,D07,2015,06,09,CU,motile,caligus
0.2,1,0.6,DI,D09,2015,06,09,CU,motile,caligus
0,0.6,0.3,DI,D09,2015,06,11,CU,motile,caligus
0.2,1.1,0.65,DI,D07,2015,06,13,CU,motile,caligus
0.16666666666666666,0.8333333333333334,0.5,DI,D09,2015,06,14,CU,motile,caligus
0,0.9,0.45,JS,J03,2015,06,15,CU,motile,caligus
0,0,0,JS,J02,2015,06,16,CU,motile,caligus
0,1.2,0.6,JS,J09,2015,06,16,CU,motile,caligus
0,0.3,0.15,DI,D08,2015,06,17,CU,motile,caligus
0,1.2,0.6,DI,D09,2015,06,18,CU,motile,caligus
0,0,0,JS,J02,2015,06,19,CU,motile,caligus
0.3333333333333333,2.1666666666666665,1.25,JS,J09,2015,06,19,CU,motile,caligus
1,1.6,1.3,DI,D09,2015,06,20,CU,motile,caligus
0,0,0,DI,D09,2015,06,22,CU,motile,caligus
0,0.6,0.3,JS,J02,2015,06,23,CU,motile,caligus
0,0.6,0.3,JS,J03,2015,06,23,CU,motile,caligus
0,0.8,0.4,DI,D09,2015,06,24,CU,motile,caligus
0,0.8,0.4,DI,D09,2015,06,27,CU,motile,caligus
0.4,1,0.7,JS,J09,2015,06,27,CU,motile,caligus
0.2,1.2,0.7,JS,J03,2015,06,28,CU,motile,caligus
0.14285714285714285,1.1428571428571428,0.6428571428571428,DI,D09,2015,06,29,CU,motile,caligus
0,1.4,0.7,JS,J09,2015,07,01,CU,motile,caligus
0,0.8,0.4,DI,D09,2015,07,02,CU,motile,caligus
1.6,2.8,2.2,DI,D09,2015,07,06,CU,motile,caligus
0,0.6,0.3,DI,D09,2015,07,07,CU,motile,caligus
0,1.8,0.9,JS,J09,2015,07,07,CU,motile,caligus
0,0,0,DI,D22,2016,05,15,CU,motile,caligus
0,0,0,DI,D08,2016,05,19,CU,motile,caligus
0,0.375,0.1875,JS,J02,2016,05,22,CU,motile,caligus
0,0,0,JS,J09,2016,05,22,CU,motile,caligus
0.2,1.2,0.7,DI,D09,2016,05,23,CU,motile,caligus
0,0,0,DI,D22,2016,05,23,CU,motile,caligus
0.2,1,0.6,DI,D09,2016,05,27,CU,motile,caligus
0,0.375,0.1875,DI,D22,2016,05,27,CU,motile,caligus
1,1,1,JS,J09,2016,05,27,CU,motile,caligus
0.3,1.3,0.8,JS,J02,2016,05,28,CU,motile,caligus
1,1,1,JS,J03,2016,05,28,CU,motile,caligus
0,0.6,0.3,DI,D09,2016,06,01,CU,motile,caligus
0,0.3,0.15,DI,D22,2016,06,01,CU,motile,caligus
0,0.3,0.15,JS,J02,2016,06,01,CU,motile,caligus
0,0.5,0.25,JS,J09,2016,06,02,CU,motile,caligus
0.16666666666666666,1.8333333333333333,1,JS,J03,2016,06,04,CU,motile,caligus
0,0.9,0.45,DI,D09,2016,06,07,CU,motile,caligus
0,0.7,0.35,DI,D22,2016,06,07,CU,motile,caligus
0,0,0,DI,D08,2016,06,09,CU,motile,caligus
0,0.3,0.15,JS,J02,2016,06,09,CU,motile,caligus
0.09750000000000014,0.6,0.34875000000000006,JS,J09,2016,06,09,CU,motile,caligus
0,0,0,JS,J03,2016,06,10,CU,motile,caligus
0,0.3,0.15,DI,D09,2016,06,14,CU,motile,caligus
0,0,0,DI,D22,2016,06,14,CU,motile,caligus
0,0.5,0.25,JS,J03,2016,06,18,CU,motile,caligus
0,0.5,0.25,JS,J09,2016,06,18,CU,motile,caligus
0,0.5,0.25,DI,D09,2016,06,21,CU,motile,caligus
0,0.9,0.45,JS,J03,2016,06,23,CU,motile,caligus
0.2,0.8,0.5,JS,J02,2016,06,24,CU,motile,caligus
0,0,0,JS,J09,2016,07,04,CU,motile,caligus
0,0.3,0.15,DI,D09,2016,07,06,CU,motile,caligus
0,0.3,0.15,DI,D09,2017,05,25,CU,motile,caligus
0,0.4,0.2,DI,D09,2017,05,29,CU,motile,caligus
0,0.7,0.35,DI,D27,2017,06,05,CU,motile,caligus
0.16666666666666666,0.8333333333333334,0.5,JS,J02,2017,06,06,CU,motile,caligus
0,0,0,JS,J03,2017,06,06,CU,motile,caligus
0.05,0.5,0.275,DI,D09,2017,06,07,CU,motile,caligus
0.15,0.65,0.4,DI,D09,2017,06,12,CU,motile,caligus
0,0.15,0.075,DI,D27,2017,06,13,CU,motile,caligus
0.15789473684210525,0.631578947368421,0.39473684210526316,JS,J09,2017,06,13,CU,motile,caligus
0,0.45,0.225,JS,J03,2017,06,14,CU,motile,caligus
0,0.5,0.25,DI,D22,2017,06,19,CU,motile,caligus
0.2,1,0.6,DI,D09,2017,06,20,CU,motile,caligus
0,0.4,0.2,JS,J02,2017,06,20,CU,motile,caligus
0.1,0.45,0.275,JS,J09,2017,06,21,CU,motile,caligus
0.25,0.9,0.575,DI,D09,2017,06,26,CU,motile,caligus
0.3,0.9012499999999989,0.6006249999999994,JS,J09,2017,06,27,CU,motile,caligus
0.1,0.9,0.5,DI,D10,2017,06,28,CU,motile,caligus
0,0.3,0.15,JS,J02,2017,06,28,CU,motile,caligus
0,1.5,0.75,DI,D22,2017,07,04,CU,motile,caligus
0.1,0.7,0.39999999999999997,DI,D27,2017,07,04,CU,motile,caligus
