ufn,date_processed,cwt,adipose,weight,standard_length,fork_length,comments_protocol,comments_fish_health_lab,dissector,dissection_protocol,lice_collection_protocol,lice_id_protocol_lab
U01,2015-09-10,None,Present,NA,,118,From thawed JS fish. One otolith collected,NA,CK,nocold,lab_fine_2015,NA
U02,2015-09-10,None,Present,22.2,,128,From thawed JS fish,Small spleen,CK,nocold,lab_fine_2015,NA
U11,2015-09-10,None,Present,NA,,132,From thawed JS fish,NA,KI,nocold,lab_fine_2015,NA
U12,2015-09-10,None,Present,NA,,143,From thawed JS fish. One broken otolith,One broken otolith,KI,nocold,lab_fine_2015,NA
U03,2015-09-11,None,Present,24,,134,From thawed JS fish. Sample weighed w/ some ice on body,liver was pale,DS,nocold,lab_fine_2015,NA
U13,2015-09-11,None,Present,19.5,,122,From thawed JS fish,NA,LP,nocold,lab_fine_2015,NA
U04,2015-09-14,None,Present,22.5,,132,From thawed JS fish. Some ice still on fish when weighed,one otolith smaller than the other (broken?),DS,nocold,lab_fine_2015,NA
U05,2015-09-14,None,Present,13.4,,114,From thawed JS fish,NA,DS,nocold,lab_fine_2015,NA
U14,2015-09-14,None,Present,26.3,,139,From thawed JS fish .Scale was broken so could not weigh,NA,LP,nocold,lab_fine_2015,NA
U15,2015-09-14,None,Present,29.7,,147,From thawed JS fish .Scale was broken so could not weigh,NA,LP,nocold,lab_fine_2015,NA
U31,2015-09-15,None,Present,10.9,,96,From thawed JS fish,NA,CK,nocold,lab_fine_2015,lportner_fine
U32,2015-09-15,None,Present,NA,,138,"From thawed JS fish. Mangled cal. chal b, 1 cal. chal a not retained",NA,CK,nocold,lab_fine_2015,NA
U07,2015-09-15,None,Present,12.3,,113,From thawed JS fish,NA,DS,nocold,lab_fine_2015,lportner_fine
U08,2015-09-15,None,Present,13.5,,111,From thawed JS fish,NA,DS,nocold,lab_fine_2015,NA
U09,2015-09-15,None,Present,13,,115,From thawed JS fish,NA,DS,nocold,lab_fine_2015,NA
U21,2015-09-15,None,Present,8.5,,96,From thawed JS fish,NA,KI,nocold,lab_fine_2015,lportner_fine
U22,2015-09-15,None,Present,20.6,,127,From thawed JS fish. Forgot to weigh before stomach etc removed. otoliths may have been mixed,NA,KI,nocold,lab_fine_2015,NA
U16,2015-09-15,None,Present,12.4,,110,From thawed JS fish. 1 louse taken seems to be different species?,1 louse taken seems to be different species?,LP,nocold,lab_fine_2015,lportner_fine
U33,2015-09-16,None,Present,20.9,,131,From thawed JS fish. 1 caligus chal a severly destroyed,NA,CK,nocold,lab_fine_2015,NA
U34,2015-09-16,None,Present,36.4,,140,From thawed JS fish,NA,CK,nocold,lab_fine_2015,NA
U35,2015-09-16,None,Present,12.2,,108,From thawed JS fish.,1 otolith,CK,nocold,lab_fine_2015,lportner_fine
U10,2015-09-16,None,Present,11.2,,104,From thawed JS fish,Fish was small and therfore was more abraded from handling,DS,nocold,lab_fine_2015,lportner_fine
U41,2015-09-16,None,Present,16.3,,110,From thawed JS fish. Tray tipped off microscope during lice removal fish fell off onto lab coat. lab coat was inspected for lice.,NA,DS,nocold,lab_fine_2015,NA
U42,2015-09-16,None,Present,7.6,,95,From thawed JS fish,Missing lots of scales even before removal from bag,DS,nocold,lab_fine_2015,lportner_fine
