sample_id,sample_type,sample_subtype,ufn,sample_comments,analyzing_lab
U99RG1,RNA_pathogens,gill,U99,NA,PBS
U127RG1,RNA_pathogens,gill,U127,NA,PBS
U128RG1,RNA_pathogens,gill,U128,NA,PBS
U129RG1,RNA_pathogens,gill,U129,NA,PBS
U130RG1,RNA_pathogens,gill,U130,NA,PBS
U200RG1,RNA_pathogens,gill,U200,NA,PBS
U207RG1,RNA_pathogens,gill,U207,NA,PBS
U208RG1,RNA_pathogens,gill,U208,NA,PBS
U209RG1,RNA_pathogens,gill,U209,NA,PBS
U210RG1,RNA_pathogens,gill,U210,NA,PBS
U213RG1,RNA_pathogens,gill,U213,NA,PBS
U214RG1,RNA_pathogens,gill,U214,NA,PBS
U215RG1,RNA_pathogens,gill,U215,NA,PBS
U216RG1,RNA_pathogens,gill,U216,NA,PBS
U217RG1,RNA_pathogens,gill,U217,NA,PBS
U218RG1,RNA_pathogens,gill,U218,NA,PBS
U219RG1,RNA_pathogens,gill,U219,NA,PBS
U220RG1,RNA_pathogens,gill,U220,NA,PBS
U221RG1,RNA_pathogens,gill,U221,NA,PBS
U222RG1,RNA_pathogens,gill,U222,NA,PBS
U223RG1,RNA_pathogens,gill,U223,NA,PBS
U224RG1,RNA_pathogens,gill,U224,NA,PBS
U225RG1,RNA_pathogens,gill,U225,NA,PBS
U226RG1,RNA_pathogens,gill,U226,NA,PBS
U227RG1,RNA_pathogens,gill,U227,NA,PBS
U228RG1,RNA_pathogens,gill,U228,NA,PBS
U229RG1,RNA_pathogens,gill,U229,NA,PBS
U230RG1,RNA_pathogens,gill,U230,NA,PBS
U231RG1,RNA_pathogens,gill,U231,NA,PBS
U232RG1,RNA_pathogens,gill,U232,NA,PBS
U233RG1,RNA_pathogens,gill,U233,NA,PBS
U234RG1,RNA_pathogens,gill,U234,NA,PBS
U235RG1,RNA_pathogens,gill,U235,NA,PBS
U236RG1,RNA_pathogens,gill,U236,NA,PBS
U237RG1,RNA_pathogens,gill,U237,NA,PBS
U238RG1,RNA_pathogens,gill,U238,NA,PBS
U239RG1,RNA_pathogens,gill,U239,NA,PBS
U240RG1,RNA_pathogens,gill,U240,NA,PBS
U241RG1,RNA_pathogens,gill,U241,NA,PBS
U242RG1,RNA_pathogens,gill,U242,NA,PBS
U243RG1,RNA_pathogens,gill,U243,NA,PBS
U244RG1,RNA_pathogens,gill,U244,NA,PBS
U245RG1,RNA_pathogens,gill,U245,NA,PBS
U246RG1,RNA_pathogens,gill,U246,NA,PBS
U247RG1,RNA_pathogens,gill,U247,NA,PBS
U248RG1,RNA_pathogens,gill,U248,NA,PBS
U249RG1,RNA_pathogens,gill,U249,NA,PBS
U250RG1,RNA_pathogens,gill,U250,NA,PBS
U251RG1,RNA_pathogens,gill,U251,NA,PBS
U252RG1,RNA_pathogens,gill,U252,NA,PBS
U253RG1,RNA_pathogens,gill,U253,NA,PBS
U254RG1,RNA_pathogens,gill,U254,NA,PBS
U255RG1,RNA_pathogens,gill,U255,NA,PBS
U256RG1,RNA_pathogens,gill,U256,NA,PBS
U257RG1,RNA_pathogens,gill,U257,NA,PBS
U258RG1,RNA_pathogens,gill,U258,NA,PBS
U259RG1,RNA_pathogens,gill,U259,NA,PBS
U260RG1,RNA_pathogens,gill,U260,NA,PBS
U261RG1,RNA_pathogens,gill,U261,NA,PBS
U262RG1,RNA_pathogens,gill,U262,NA,PBS
U263RG1,RNA_pathogens,gill,U263,NA,PBS
U264RG1,RNA_pathogens,gill,U264,NA,PBS
U265RG1,RNA_pathogens,gill,U265,NA,PBS
U266RG1,RNA_pathogens,gill,U266,NA,PBS
U267RG1,RNA_pathogens,gill,U267,NA,PBS
U268RG1,RNA_pathogens,gill,U268,NA,PBS
U269RG1,RNA_pathogens,gill,U269,NA,PBS
U270RG1,RNA_pathogens,gill,U270,NA,PBS
U271RG1,RNA_pathogens,gill,U271,NA,PBS
U272RG1,RNA_pathogens,gill,U272,NA,PBS
U273RG1,RNA_pathogens,gill,U273,NA,PBS
U274RG1,RNA_pathogens,gill,U274,NA,PBS
U275RG1,RNA_pathogens,gill,U275,NA,PBS
U276RG1,RNA_pathogens,gill,U276,NA,PBS
U277RG1,RNA_pathogens,gill,U277,NA,PBS
U278RG1,RNA_pathogens,gill,U278,NA,PBS
U279RG1,RNA_pathogens,gill,U279,NA,PBS
U280RG1,RNA_pathogens,gill,U280,NA,PBS
U281RG1,RNA_pathogens,gill,U281,NA,PBS
U284RG1,RNA_pathogens,gill,U284,NA,PBS
U285RG1,RNA_pathogens,gill,U285,NA,PBS
U286RG1,RNA_pathogens,gill,U286,NA,PBS
U287RG1,RNA_pathogens,gill,U287,NA,NA
U288RG1,RNA_pathogens,gill,U288,NA,NA
U289RG1,RNA_pathogens,gill,U289,NA,NA
U290RG1,RNA_pathogens,gill,U290,NA,NA
U291RG1,RNA_pathogens,gill,U291,NA,NA
U292RG1,RNA_pathogens,gill,U292,NA,NA
U293RG1,RNA_pathogens,gill,U293,NA,NA
U294RG1,RNA_pathogens,gill,U294,NA,NA
U295RG1,RNA_pathogens,gill,U295,NA,NA
U296RG1,RNA_pathogens,gill,U296,NA,NA
U297RG1,RNA_pathogens,gill,U297,NA,NA
U298RG1,RNA_pathogens,gill,U298,NA,NA
U299RG1,RNA_pathogens,gill,U299,NA,NA
U300RG1,RNA_pathogens,gill,U300,NA,NA
U301RG1,RNA_pathogens,gill,U301,NA,NA
U302RG1,RNA_pathogens,gill,U302,NA,NA
U303RG1,RNA_pathogens,gill,U303,NA,NA
U304RG1,RNA_pathogens,gill,U304,NA,NA
U305RG1,RNA_pathogens,gill,U305,NA,NA
U306RG1,RNA_pathogens,gill,U306,NA,NA
U307RG1,RNA_pathogens,gill,U307,NA,NA
U308RG1,RNA_pathogens,gill,U308,NA,NA
U309RG1,RNA_pathogens,gill,U309,NA,NA
U310RG1,RNA_pathogens,gill,U310,NA,NA
U311RG1,RNA_pathogens,gill,U311,NA,PBS
U312RG1,RNA_pathogens,gill,U312,NA,PBS
U313RG1,RNA_pathogens,gill,U313,NA,PBS
U315RG1,RNA_pathogens,gill,U315,NA,NA
U316RG1,RNA_pathogens,gill,U316,NA,NA
U317RG1,RNA_pathogens,gill,U317,NA,NA
U318RG1,RNA_pathogens,gill,U318,NA,NA
U319RG1,RNA_pathogens,gill,U319,NA,NA
U320RG1,RNA_pathogens,gill,U320,NA,NA
U321RG1,RNA_pathogens,gill,U321,NA,NA
U322RG1,RNA_pathogens,gill,U322,NA,NA
U323RG1,RNA_pathogens,gill,U323,NA,NA
U324RG1,RNA_pathogens,gill,U324,NA,NA
U325RG1,RNA_pathogens,gill,U325,NA,NA
U326RG1,RNA_pathogens,gill,U326,NA,NA
