sampleID,site,location,region,date,depth,mesh,flowin,flowout,distance,duration,volume,vol.cor,sieve,fraction.proc,sizeclass,phylum,class,order,family,genus,species,plot.taxon.g,plot.taxon.d,plot.taxon,labID,stage,sex,length,count,totcount,abundance,lab.processor,processor.notes
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,250,0.02,1-2,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,NA,Calanoid copepod,Acartia,Acartia,Acartia,NA,NA,<2,351,17550,671.47,Andrea Le,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,2000,1,>10,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,victoria,Other,Aequorea,Aequorea,Aequorea victoria,NA,NA,43,1,1,0.04,Andrea Le,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,250,0.02,<1,Arthropoda,Maxillopoda,NA,NA,NA,NA,Barnacle,Barnacle,Barnacle,Barnacle Nauplius,nauplius,NA,<2,24,1200,45.91,Andrea Le,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,250,0.02,<1,Mollusca,Bivalvia,NA,NA,NA,NA,Other,Bivalvia,Bivalvia,Bivalve veliger,veliger,NA,<2,1,50,1.91,Andrea Le,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,250,0.02,<1,Bryozoa,NA,NA,NA,NA,NA,Other,Bryozoa,Bryozoa,Bryozoa,NA,NA,<2,74,3700,141.56,Andrea Le,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,1000,1,2-5,Arthropoda,Maxillopoda,Calanoida,Calanidae,Calanus,marshallae,Calanoid copepod,Calanus,Calanus,Calanus marshallae,NA,NA,3.6,2,2,0.08,Andrea Le,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,250,0.02,1-2,Arthropoda,Maxillipoda,Calanoida,Centropagidae,Centropages,abdominalis,Calanoid copepod,Centropages,Centropages,Centropages abdominalis,NA,M,<2,19,950,36.35,Andrea Le,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,2000,1,>10,Chaetognatha,NA,NA,NA,NA,NA,Other,Chaetognatha,Chaetognatha,Chaetognath,NA,NA,12,1,1,0.04,Andrea Le,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,1000,1,5-10,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,NA,Other,Clytia,Clytia,Clytia,NA,NA,5.5,1,1,0.04,Andrea Le,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,250,0.02,<1,Arthropoda,Maxillopoda,NA,NA,NA,NA,Other,Copepod (<CV),Copepod nauplius,Copepod nauplius,nauplius,NA,<2,3,150,5.74,Andrea Le,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,250,0.02,<1,Arthropoda,Maxillopoda,NA,NA,NA,NA,Barnacle,Barnacle,Barnacle,Cyprid,NA,NA,<2,2,100,3.83,Andrea Le,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,1000,1,1-2,Chordata,Actinopterygii,NA,NA,NA,NA,Other,Actinopterygii,Actinopterygii,Egg (fish),NA,NA,<2,6,6,0.23,Andrea Le,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,250,0.02,<1,NA,NA,NA,NA,NA,NA,Other,Other,Other,Egg (oily),NA,NA,<2,17,850,32.52,Andrea Le,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,1000,1,1-2,Arthropoda,Hexanauplia,Calanoida,Pontellidae,Epilabidocera,longipedata,Calanoid copepod,Epilabidocera,Epilabidocera,Epilabidocera longipedata,NA,NA,<2,1,1,0.04,Andrea Le,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,250,0.02,1-2,Arthropoda,Hexanauplia,Calanoida,Pontellidae,Epilabidocera,longipedata,Calanoid copepod,Epilabidocera,Epilabidocera,Epilabidocera longipedata,<C5,NA,<2,6,300,11.48,Andrea Le,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,250,0.02,<1,Arthropoda,Branchiopoda,Diplostraca,Podonidae,Evadne,NA,Cladoceran,Evadne,Evadne,Evadne,NA,NA,<2,10,500,19.13,Andrea Le,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,250,0.02,<1,Mollusca,Gastropoda,NA,NA,NA,NA,Other,Gastropoda,Gastropoda,Gastropod veliger,veliger,NA,<2,1,50,1.91,Andrea Le,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,1000,1,2-5,Arthropoda,Malacostraca,Decapoda,Majidae,NA,NA,Decapod ,Majidae,Majidae,Majidae,NA,NA,4.2,1,1,0.04,Andrea Le,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,250,0.02,<1,Arthropoda,Branchiopoda,Diplostraca,Podonidae,Podon,NA,Cladoceran,Podon,Podon,Podon,NA,NA,<2,1,50,1.91,Andrea Le,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,250,0.02,1-2,Arthropoda,Maxillipoda,Calanoida,Clausocalanidae,Pseudocalanus,NA,Calanoid copepod,Pseudocalanus,Pseudocalanus,Pseudocalanus,NA,NA,<2,4,200,7.65,Andrea Le,
JSPK1014,J07,JS,South,2015-05-26,0,250,83272,88179,131.8659429,NA,25.87869129,26.13655315,1000,1,2-5,Arthropoda,Hexanauplia,Calanoida,Tortanidae,Tortanus,NA,Calanoid copepod,Tortanus,Tortanus,Tortanus,NA,M,2.1,1,1,0.04,Andrea Le,
JSPK1040,J07,JS,South,2015-06-06,0,250,169602,174228,124.3146223,NA,24.39674463,25.12603073,1000,1,1-2,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,NA,Calanoid copepod,Acartia,Acartia,Acartia,NA,NA,<2,3,3,0.12,Andrea Le,
JSPK1040,J07,JS,South,2015-06-06,0,250,169602,174228,124.3146223,NA,24.39674463,25.12603073,250,0.02,1-2,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,NA,Calanoid copepod,Acartia,Acartia,Acartia,NA,NA,<2,114,5700,226.86,Andrea Le,
JSPK1040,J07,JS,South,2015-06-06,0,250,169602,174228,124.3146223,NA,24.39674463,25.12603073,250,0.02,1-2,Arthropoda,Hexanauplia,Calanoida,Aetideidae,Aetidius,diveregns,Calanoid copepod,Aetidius,Aetidius,Aetidius divergens,NA,NA,<2,1,50,1.99,Andrea Le,
JSPK1040,J07,JS,South,2015-06-06,0,250,169602,174228,124.3146223,NA,24.39674463,25.12603073,250,0.02,1-2,Arthropoda,Hexanauplia,Calanoida,Aetideidae,Aetidius,diveregns,Calanoid copepod,Aetidius,Aetidius,Aetidius divergens,NA,F,<2,1,50,1.99,Andrea Le,
JSPK1040,J07,JS,South,2015-06-06,0,250,169602,174228,124.3146223,NA,24.39674463,25.12603073,250,0.02,<1,Arthropoda,Maxillopoda,NA,NA,NA,NA,Barnacle,Barnacle,Barnacle,Barnacle Nauplius,nauplius,NA,<2,61,3050,121.39,Andrea Le,
JSPK1040,J07,JS,South,2015-06-06,0,250,169602,174228,124.3146223,NA,24.39674463,25.12603073,1000,1,<1,Mollusca,Bivalvia,NA,NA,NA,NA,Other,Bivalvia,Bivalvia,Bivalve veliger,veliger,NA,<2,1,1,0.04,Andrea Le,
