survey_date,region,species,fork_length,year
2020-05-19T00:00:00Z,DI,SO,87,2020
2020-05-19T00:00:00Z,DI,PI,120,2020
2020-05-19T00:00:00Z,DI,PI,73,2020
2020-05-19T00:00:00Z,DI,PI,89,2020
2020-05-19T00:00:00Z,DI,PI,91,2020
2020-05-19T00:00:00Z,DI,PI,64,2020
2020-05-19T00:00:00Z,DI,PI,79,2020
2020-05-19T00:00:00Z,DI,PI,88,2020
2020-05-19T00:00:00Z,DI,PI,68,2020
2020-05-19T00:00:00Z,DI,CU,95,2020
2020-05-19T00:00:00Z,DI,CU,101,2020
2020-05-19T00:00:00Z,DI,CU,125,2020
2020-05-19T00:00:00Z,DI,CU,84,2020
2020-05-19T00:00:00Z,DI,CU,118,2020
2020-05-19T00:00:00Z,DI,CU,103,2020
2020-05-19T00:00:00Z,DI,CU,80,2020
2020-05-19T00:00:00Z,DI,CU,95,2020
2020-05-19T00:00:00Z,DI,CU,82,2020
2020-05-22T00:00:00Z,DI,SO,121,2020
2020-05-22T00:00:00Z,DI,SO,116,2020
2020-05-22T00:00:00Z,DI,SO,118,2020
2020-05-22T00:00:00Z,DI,SO,106,2020
2020-05-22T00:00:00Z,DI,SO,97,2020
2020-05-22T00:00:00Z,DI,SO,112,2020
2020-05-22T00:00:00Z,DI,SO,114,2020
2020-05-22T00:00:00Z,DI,SO,119,2020
2020-05-22T00:00:00Z,DI,SO,113,2020
2020-05-22T00:00:00Z,DI,SO,114,2020
2020-05-22T00:00:00Z,DI,PI,128,2020
2020-05-22T00:00:00Z,DI,PI,108,2020
2020-05-22T00:00:00Z,DI,PI,136,2020
2020-05-22T00:00:00Z,DI,PI,112,2020
2020-05-22T00:00:00Z,DI,PI,116,2020
2020-05-22T00:00:00Z,DI,PI,104,2020
2020-05-22T00:00:00Z,DI,SO,134,2020
2020-05-22T00:00:00Z,DI,SO,125,2020
2020-05-22T00:00:00Z,DI,SO,110,2020
2020-05-22T00:00:00Z,DI,SO,108,2020
2020-05-22T00:00:00Z,DI,SO,113,2020
2020-05-22T00:00:00Z,DI,SO,108,2020
2020-05-22T00:00:00Z,DI,SO,121,2020
