year,species,mean_catch,sd,n,se,lower_ci,upper_ci
2015,Chum,194.6,283.4,69,34.1,68.1,68.1
2015,Pink,65.3,145.8,39,23.4,47.3,47.3
2015,Sockeye,272.2,479.8,70,57.3,114.4,114.4
2016,Chum,113.4,175.1,51,24.5,49.2,49.2
2016,Pink,109.9,169.1,50,23.9,48.1,48.1
2016,Sockeye,307.2,431.7,52,59.9,120.2,120.2
2017,Chum,298.6,378.6,28,71.6,146.8,146.8
2017,Pink,11.3,15.9,13,4.4,9.6,9.6
2017,Sockeye,131.5,158.2,29,29.4,60.2,60.2
2018,Chum,305.6,510.6,31,91.7,187.3,187.3
2018,Pink,463.4,792.6,32,140.1,285.8,285.8
2018,Sockeye,110.4,286.1,34,49.1,99.8,99.8
2019,Chum,165.9,175.6,42,27.1,54.7,54.7
2019,Pink,348.5,945.1,24,192.9,399.1,399.1
2019,Sockeye,225,530.9,46,78.3,157.7,157.7
2020,Chum,20.2,24,13,6.7,14.5,14.5
2020,Pink,229.9,370.1,16,92.5,197.2,197.2
2020,Sockeye,152.5,460.5,18,108.5,229,229
