survey_date,region,species,fork_length,year
2015-05-16,DI,SO,128,2015
2015-05-16,DI,SO,95,2015
2015-05-16,DI,SO,103,2015
2015-05-16,DI,SO,101,2015
2015-05-16,DI,SO,116,2015
2015-05-16,DI,SO,100,2015
2015-05-16,DI,SO,94,2015
2015-05-16,DI,SO,104,2015
2015-05-16,DI,SO,109,2015
2015-05-16,DI,SO,99,2015
2015-05-16,DI,PI,86,2015
2015-05-16,DI,CU,114,2015
2015-05-16,DI,CU,114,2015
2015-05-16,DI,CU,122,2015
2015-05-16,DI,CU,101,2015
2015-05-16,DI,CU,90,2015
2015-05-19,DI,SO,104,2015
2015-05-19,DI,SO,89,2015
2015-05-19,DI,SO,96,2015
2015-05-19,DI,SO,96,2015
2015-05-19,DI,SO,97,2015
2015-05-19,DI,SO,76,2015
2015-05-19,DI,SO,95,2015
2015-05-19,DI,SO,94,2015
2015-05-19,DI,CU,118,2015
2015-05-19,DI,CU,120,2015
2015-05-19,DI,SO,97,2015
2015-05-19,DI,SO,95,2015
2015-05-19,DI,SO,94,2015
2015-05-19,DI,SO,127,2015
2015-05-19,DI,SO,108,2015
2015-05-19,DI,SO,104,2015
2015-05-19,DI,SO,107,2015
2015-05-19,DI,SO,112,2015
2015-05-19,DI,SO,99,2015
2015-05-19,DI,SO,108,2015
2015-05-19,DI,CU,107,2015
2015-05-19,DI,CU,109,2015
2015-05-19,DI,CU,108,2015
2015-05-19,DI,CU,120,2015
2015-05-19,DI,CU,114,2015
2015-05-19,DI,CU,116,2015
2015-05-19,DI,CU,89,2015
2015-05-20,DI,SO,102,2015
2015-05-20,DI,SO,94,2015
2015-05-20,DI,SO,104,2015
2015-05-20,DI,SO,101,2015
2015-05-20,DI,SO,98,2015
2015-05-20,DI,SO,103,2015
2015-05-20,DI,SO,101,2015
2015-05-20,DI,SO,98,2015
2015-05-20,DI,SO,89,2015
2015-05-20,DI,SO,101,2015
2015-05-20,DI,CU,99,2015
2015-05-20,DI,CU,82,2015
2015-05-20,DI,CU,113,2015
2015-05-20,DI,CU,81,2015
2015-05-20,DI,CU,76,2015
2015-05-20,DI,SO,97,2015
2015-05-20,DI,SO,108,2015
2015-05-20,DI,SO,109,2015
2015-05-20,DI,SO,104,2015
2015-05-20,DI,SO,105,2015
2015-05-20,DI,SO,106,2015
2015-05-20,DI,SO,102,2015
2015-05-20,DI,SO,96,2015
2015-05-20,DI,SO,97,2015
2015-05-20,DI,SO,128,2015
2015-05-20,DI,SO,103,2015
2015-05-20,DI,SO,95,2015
2015-05-20,DI,SO,102,2015
2015-05-20,DI,SO,106,2015
2015-05-20,DI,SO,104,2015
2015-05-20,DI,SO,106,2015
2015-05-20,DI,SO,109,2015
2015-05-20,DI,SO,98,2015
2015-05-20,DI,SO,98,2015
2015-05-20,DI,SO,101,2015
2015-05-21,DI,SO,104,2015
2015-05-21,DI,SO,98,2015
2015-05-21,DI,SO,96,2015
2015-05-21,DI,SO,100,2015
2015-05-21,DI,SO,100,2015
2015-05-21,DI,SO,100,2015
2015-05-21,DI,SO,103,2015
2015-05-21,DI,SO,100,2015
2015-05-21,DI,SO,98,2015
2015-05-21,DI,SO,99,2015
2015-05-21,DI,PI,83,2015
2015-05-21,DI,PI,88,2015
2015-05-21,DI,PI,90,2015
2015-05-21,DI,PI,80,2015
2015-05-21,DI,PI,88,2015
2015-05-21,DI,CU,96,2015
2015-05-21,DI,CU,122,2015
2015-05-21,DI,CU,90,2015
2015-05-21,DI,CU,84,2015
