table,column,name,data_type,data_format,key,references,description
sites,site_id,Site ID,text,,PK,,Unique alphanumeric ID assigned to each site
sites,site_name,Site Name,text,,,,Chart name for the location of a survey site
sites,region,Region,text,,,,"General geographic zone. ""DI"" (Discovery Islands) or ""JS"" (Johnstone Strait)"
sites,zone,Zone,text,,,,"Categorization of the generalized migration route taken by outmigrating juvenile salmon. For DI: ""W"" (west), ""C"" (central), or ""E"" (east). For JS: ""N"" (north) or ""S"" (south)"
sites,priority,Priority,text,,,,Order in which a site was surveyed within a region
sites,pfma,Pacific Fisheries Management Area,text,,,,DFO management area and subarea designation
sites,notes,Notes,text,,,,
site_coordinates,site_id,Site ID,text,,FK,sites,
site_coordinates,coordinate_type,Location Type,text,,,,"""survey_start"" = start location of the visual survey transect. ""survey_end"" = end location of the visual survey transect. ""ocgy_std"" = location of the standard oceanographic sampling station within the site."
site_coordinates,site_lat,Latitude (DD),decimal,nn.nnnnn,,,Location in decimal degrees
site_coordinates,site_long,Latitude (DD),decimal,nnn.nnnnn,,,Location in decimal degrees
survey_data,survey_id,Survey ID,text,,PK,,Unique alphanumeric ID assigned to each survey
survey_data,survey_date,Survey Date,date,yyyy-mm-dd,,,Date upon which the survey was conducted
survey_data,site_id,Site ID,text,,FK,sites,
survey_data,crew,Crew,text,,,,Full names of crew members
survey_data,precip,Precipitation,text,,,,"""none"", ""light"", ""moderate"", ""heavy"""
survey_data,cloud_cover,Cloud Cover (%),text,,,,"Visual approximation of the percent of cloud cover overhead, ± 12.5 %. ""0"", ""25"", ""50"", ""75"", ""100"""
survey_data,sea_state,Sea State,text,,,,"Sea surface conditions. ""0"" = sea-surface smooth and mirror-like. ""1"" = scaly ripples, no foam crests. ""2"" = small wavelets, crests glassy, no breaking. ""3"" = large wavelets, crests begin to break, scattered whitecaps. ""4"" = small waves 1-4 ft. becoming longer, numerous whitecaps. ""5"" = moderate waves 4-8 ft. taking longer form, many whitecaps, some spray."
survey_data,wind_speed,Wind Speed (knots),text,,,,"Estimated wind speed range observed. ""0"", ""0.1-5"", ""5-10"", ""10-15"", ""15-20"", ""20-30"""
survey_data,wind_direction,Wind Direction,text,,,,"Approximation of which way the wind was coming from. ""N"", ""S"", ""E"", ""W"", ""NW"", ""NE"", ""SE"", ""SW"""
survey_data,tide_state,Tidal State,text,,,,"""flood"", ""ebb"", ""high slack"", ""low slack"""
survey_data,survey_time_start,Survey Time - Start,timestamp with timezone,yyyy-mm-dd hh:mm:ss Z,,,24-hour time of commencing visual survey for site activity (only applies to surveys conducted from 2017 onwards).
survey_data,survey_time_end,Survey Time - End,timestamp with timezone,yyyy-mm-dd hh:mm:ss Z,,,24-hour time of end of visual survey for site activity (only applies to surveys conducted from 2017 onwards).
survey_data,net_sets,Number of Sets,integer,,,,"The number of times the seine was deployed in a survey, not counting botched sets"
survey_data,secchi,Secchi Depth (m),numeric,n.n,,,Depth reading of the secchi disc
