package_id,seine_id,pkg_species,n_fish,field_liced_status,preservation_status,pkg_type,pkg_comments
DP738,DE278N1,HE,4,N,OK,JSP,NA
DP746,DE295N1,HE,3,N,OK,JSP,NA
DP755,DE344N1,HE,3,N,OK,JSP,NA
DP749,DE275N1,CO,1,N,OK,JSP,NA
DP744,DE338N1,HE,3,N,OK,JSP,NA
DP730,DE293N1,HE,10,N,OK,JSP,NA
DP735,DE258N1,CO,2,N,OK,JSP,NA
DP732,DE259N1,HE,10,N,OK,JSP,NA
DP748,DE267N1,HE,6,N,OK,JSP,NA
DP740,DE341N1,HE,3,N,OK,JSP,NA
DP759,DE274N1,CO,1,N,OK,JSP,NA
DP753,DE352N1,HE,2,N,OK,JSP,NA
DP745,DE305N2,CO,1,N,OK,JSP,NA
DP751,DE282N1,CO,2,N,OK,JSP,NA
DP756,DE299N1,CO,1,N,OK,JSP,NA
DP743,DE293N1,CO,1,N,OK,JSP,NA
DP858,DE300N1,CO,1,N,OK,JSP,NA
DP475,DE255N2,HE,9,N,OK,JSP,NA
JP492,JE268N1,HE,10,N,OK,JSP,NA
JP513,JE243N2,CO,6,N,OK,JSP,NA
JP497,JE270N1,HE,5,N,OK,JSP,NA
JP490,JE234N2,CO,1,N,OK,JSP,NA
JP480,JE291N1,HE,1,N,OK,JSP,NA
JP477,JE285N1,HE,5,N,OK,JSP,NA
JP482,JE245N2,CO,6,N,OK,JSP,NA
JP494,JE246N1,CO,10,N,OK,JSP,NA
JP496,JE282N1,HE,7,N,OK,JSP,NA
JP504,JE236N1,HE,1,N,OK,JSP,NA
JP517,JE269N1,HE,1,N,OK,JSP,NA
JP512,JE269N1,CO,1,N,OK,JSP,NA
JP489,JE256N1,HE,2,N,OK,JSP,NA
JP502,JE273N1,HE,1,N,OK,JSP,NA
JP493,JE272N2,CO,3,N,OK,JSP,NA
JP509,JE254N1,CO,1,N,OK,JSP,NA
JP510,JE272N2,HE,1,N,OK,JSP,NA
JP516,JE302N1,HE,1,N,OK,JSP,NA
JP508,JE290N2,HE,2,N,OK,JSP,NA
JP515,JE233N1,HE,1,N,OK,JSP,NA
JP486,JE236N1,CO,3,N,OK,JSP,NA
JP487,JE285N1,CO,10,N,OK,JSP,NA
JP484,JE263N1,CO,8,N,OK,JSP,NA
JP640,JE251N1,CO,10,N,OK,JSP,NA
JP499,JE291N1,CO,1,N,OK,JSP,NA
JP500,JE249N1,CO,1,N,OK,JSP,NA
DP731,DE299N1,CU,10,N,OK,JSP,NA
JP524,JE272N2,CU,7,N,OK,JSP,NA
DP768,DE293N1,CU,10,N,OK,JSP,NA
DP835,DE269N2,CU,5,N,OK,JSP,NA
DP760,DE315N1,CU,9,N,OK,JSP,NA
JP485,JE254N1,CU,5,N,OK,JSP,NA
JP514,JE244N1,CU,10,N,OK,JSP,NA
JP511,JE256N1,CU,10,N,OK,JSP,NA
JP526,JE231N1,CU,2,N,OK,JSP,NA
DP766,DE259N1,CU,1,N,OK,JSP,NA
DP775,DE258N1,CU,1,N,OK,JSP,NA
DP754,DE255N2,CU,10,N,OK,JSP,NA
DP739,DE296N1,CU,10,N,OK,JSP,NA
DP734,DE310N2,CU,5,N,OK,JSP,NA
DP750,DE355N1,CU,10,N,OK,JSP,NA
DP747,DE341N1,CU,10,N,OK,JSP,NA
