ufn,date_processed,cwt,adipose,weight,standard_length,fork_length,comments_protocol,comments_fish_health_lab,dissector,dissection_protocol,lice_collection_protocol,lice_id_protocol_lab
U01,2015-09-10T00:00:00Z,None,Present,NA,NA,118,From thawed JS fish. One otolith collected,NA,CK,nocold,lab_fine_2015,NA
U02,2015-09-10T00:00:00Z,None,Present,22.2,NA,128,From thawed JS fish,Small spleen,CK,nocold,lab_fine_2015,NA
U11,2015-09-10T00:00:00Z,None,Present,NA,NA,132,From thawed JS fish,NA,KI,nocold,lab_fine_2015,NA
U12,2015-09-10T00:00:00Z,None,Present,NA,NA,143,From thawed JS fish. One broken otolith,One broken otolith,KI,nocold,lab_fine_2015,NA
U03,2015-09-11T00:00:00Z,None,Present,24,NA,134,From thawed JS fish. Sample weighed w/ some ice on body,liver was pale,DS,nocold,lab_fine_2015,NA
U13,2015-09-11T00:00:00Z,None,Present,19.5,NA,122,From thawed JS fish,NA,LP,nocold,lab_fine_2015,NA
U04,2015-09-14T00:00:00Z,None,Present,22.5,NA,132,From thawed JS fish. Some ice still on fish when weighed,one otolith smaller than the other (broken?),DS,nocold,lab_fine_2015,NA
U05,2015-09-14T00:00:00Z,None,Present,13.4,NA,114,From thawed JS fish,NA,DS,nocold,lab_fine_2015,NA
U14,2015-09-14T00:00:00Z,None,Present,26.3,NA,139,From thawed JS fish .Scale was broken so could not weigh,NA,LP,nocold,lab_fine_2015,NA
U15,2015-09-14T00:00:00Z,None,Present,29.7,NA,147,From thawed JS fish .Scale was broken so could not weigh,NA,LP,nocold,lab_fine_2015,NA
U31,2015-09-15T00:00:00Z,None,Present,10.9,NA,96,From thawed JS fish,NA,CK,nocold,lab_fine_2015,lportner_fine
U32,2015-09-15T00:00:00Z,None,Present,NA,NA,138,"From thawed JS fish. Mangled cal. chal b, 1 cal. chal a not retained",NA,CK,nocold,lab_fine_2015,NA
U07,2015-09-15T00:00:00Z,None,Present,12.3,NA,113,From thawed JS fish,NA,DS,nocold,lab_fine_2015,lportner_fine
U08,2015-09-15T00:00:00Z,None,Present,13.5,NA,111,From thawed JS fish,NA,DS,nocold,lab_fine_2015,NA
U09,2015-09-15T00:00:00Z,None,Present,13,NA,115,From thawed JS fish,NA,DS,nocold,lab_fine_2015,NA
U21,2015-09-15T00:00:00Z,None,Present,8.5,NA,96,From thawed JS fish,NA,KI,nocold,lab_fine_2015,lportner_fine
U22,2015-09-15T00:00:00Z,None,Present,20.6,NA,127,From thawed JS fish. Forgot to weigh before stomach etc removed. otoliths may have been mixed,NA,KI,nocold,lab_fine_2015,NA
