survey_date,seine_id,species,ufn,louse_species,life_stage,count,origin,year,n_hosts
2015-05-16T00:00:00Z,DE107N1,SO,U292,Caligus clemensi,attached,7,sealice_lab_fs,2015,385
2015-05-16T00:00:00Z,DE107N1,SO,U292,Lepeophtheirus salmonis,attached,0,sealice_lab_fs,2015,385
2015-05-16T00:00:00Z,DE107N1,SO,U293,Caligus clemensi,attached,5,sealice_lab_fs,2015,385
2015-05-16T00:00:00Z,DE107N1,SO,U293,Lepeophtheirus salmonis,attached,0,sealice_lab_fs,2015,385
2015-05-16T00:00:00Z,DE107N1,SO,U294,Caligus clemensi,attached,3,sealice_lab_fs,2015,385
2015-05-16T00:00:00Z,DE107N1,SO,U294,Lepeophtheirus salmonis,attached,0,sealice_lab_fs,2015,385
2015-05-16T00:00:00Z,DE107N1,SO,U295,Caligus clemensi,attached,7,sealice_lab_fs,2015,385
2015-05-16T00:00:00Z,DE107N1,SO,U295,Lepeophtheirus salmonis,attached,0,sealice_lab_fs,2015,385
2015-05-16T00:00:00Z,DE107N1,SO,U301,Caligus clemensi,attached,6,sealice_lab_fs,2015,385
2015-05-16T00:00:00Z,DE107N1,SO,U301,Lepeophtheirus salmonis,attached,0,sealice_lab_fs,2015,385
2015-05-16T00:00:00Z,DE107N1,SO,U302,Caligus clemensi,attached,3,sealice_lab_fs,2015,385
2015-05-16T00:00:00Z,DE107N1,SO,U302,Lepeophtheirus salmonis,attached,0,sealice_lab_fs,2015,385
2015-05-16T00:00:00Z,DE107N1,SO,U303,Caligus clemensi,attached,5,sealice_lab_fs,2015,385
2015-05-16T00:00:00Z,DE107N1,SO,U303,Lepeophtheirus salmonis,attached,0,sealice_lab_fs,2015,385
2015-05-16T00:00:00Z,DE107N1,SO,U311,Caligus clemensi,attached,8,sealice_lab_fs,2015,385
2015-05-16T00:00:00Z,DE107N1,SO,U311,Lepeophtheirus salmonis,attached,0,sealice_lab_fs,2015,385
2015-05-16T00:00:00Z,DE107N1,SO,U312,Caligus clemensi,attached,10,sealice_lab_fs,2015,385
2015-05-16T00:00:00Z,DE107N1,SO,U312,Lepeophtheirus salmonis,attached,0,sealice_lab_fs,2015,385
2015-05-16T00:00:00Z,DE107N1,SO,U313,Caligus clemensi,attached,5,sealice_lab_fs,2015,385
2015-05-16T00:00:00Z,DE107N1,SO,U313,Lepeophtheirus salmonis,attached,0,sealice_lab_fs,2015,385
2015-05-19T00:00:00Z,DE111N1,SO,U230,Caligus clemensi,attached,5,sealice_lab_fs,2015,385
2015-05-19T00:00:00Z,DE111N1,SO,U230,Lepeophtheirus salmonis,attached,0,sealice_lab_fs,2015,385
